iter	Passed	Remaining
862	2706	429
863	2710	426
864	2713	423
865	2716	420
866	2719	417
867	2722	413
868	2724	410
869	2727	407
870	2731	404
871	2734	401
872	2737	398
873	2740	395
874	2743	391
875	2746	388
876	2749	385
877	2752	382
878	2755	379
879	2757	376
880	2761	372
881	2764	369
882	2769	366
883	2776	364
884	2782	361
885	2786	358
886	2789	355
887	2793	352
888	2797	349
889	2800	346
890	2803	343
891	2806	339
892	2810	336
893	2814	333
894	2818	330
895	2821	327
896	2824	324
897	2828	321
898	2831	318
899	2835	315
900	2838	311
901	2841	308
902	2845	305
903	2848	302
904	2852	299
905	2856	296
906	2859	293
907	2862	290
908	2865	286
909	2869	283
910	2872	280
911	2875	277
912	2878	274
913	2881	271
914	2884	267
915	2887	264
916	2890	261
917	2893	258
918	2896	255
919	2899	252
920	2902	248
921	2904	245
922	2907	242
923	2911	239
924	2914	236
925	2917	233
926	2920	229
927	2924	226
928	2927	223
929	2930	220
930	2933	217
931	2936	214
932	2939	211
933	2943	207
934	2946	204
935	2949	201
936	2952	198
937	2959	195
938	2962	192
939	2965	189
940	2969	186
941	2971	182
942	2974	179
943	2978	176
944	2981	173
945	2984	170
946	2987	167
947	2990	164
948	2993	160
949	2996	157
950	2999	154
951	3002	151
952	3005	148
953	3008	145
954	3011	141
955	3014	138
956	3018	135
957	3021	132
958	3025	129
959	3027	126
960	3030	122
961	3033	119
962	3036	116
963	3039	113
964	3042	110
965	3045	107
966	3048	104
967	3051	100
968	3054	97
969	3057	94
970	3060	91
971	3063	88
972	3066	85
973	3069	81
974	3072	78
975	3075	75
976	3078	72
977	3081	69
978	3084	66
979	3087	63
980	3090	59
981	3093	56
982	3096	53
983	3098	50
984	3101	47
985	3104	44
986	3107	40
987	3110	37
988	3113	34
989	3116	31
990	3118	28
991	3121	25
992	3124	22
993	3127	18
994	3130	15
995	3133	12
996	3136	9
997	3139	6
998	3142	3
999	3145	0
